City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Yuanping,CN,38.7153,112.7575,64.67,41,1,3.09,clear sky
112,Ushuaia,AR,-54.8,-68.3,31.62,100,90,9.22,light snow
113,Tuktoyaktuk,CA,69.4541,-133.0374,33.98,76,8,6.29,clear sky
114,Nizhniy Ingash,RU,56.2,96.53,36.77,87,100,2.19,overcast clouds
115,Hegang,CN,47.4,130.3667,51.04,94,100,3.29,light rain
116,Lebu,CL,-37.6167,-73.65,55.8,68,100,5.57,overcast clouds
117,Fairbanks,US,64.8378,-147.7164,53.56,63,75,4.61,broken clouds
118,Raymondville,US,26.4815,-97.7831,86.92,61,0,13.51,clear sky
119,Springfield,US,37.2153,-93.2982,63.19,68,1,5.01,clear sky
120,Guiyang,CN,26.5833,106.7167,63.09,88,0,2.24,clear sky
121,Talnakh,RU,69.4865,88.3972,36.34,85,100,18.97,light rain
122,Cockburn Town,TC,21.4612,-71.1419,80.56,83,75,9.22,broken clouds
123,Naze,JP,28.3667,129.4833,70.45,80,100,12.17,overcast clouds
124,Dasoguz,TM,41.8363,59.9666,96.91,18,0,10.13,clear sky
125,Vostok,RU,46.4856,135.8833,43.16,77,97,3.22,overcast clouds
126,Port Lincoln,AU,-34.7333,135.8667,55.2,45,79,11.07,broken clouds
127,Bereda,ES,43.2686,-7.5406,74.41,60,81,7.27,broken clouds
128,Cabo San Lucas,MX,22.8909,-109.9124,90.7,47,1,3.44,clear sky
129,Ossora,RU,59.2353,163.0719,36.86,95,98,3.4,overcast clouds
130,Klaksvik,FO,62.2266,-6.589,56.32,95,84,21.32,broken clouds
131,Gamba,GA,-2.65,10.0,79.05,79,54,10.04,light rain
132,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,66,48,5.66,scattered clouds
133,Remanso,BR,-9.6179,-42.0831,85.6,38,35,9.64,scattered clouds
134,Arvika,SE,59.6553,12.5852,81.3,37,2,6.98,clear sky
135,Pangnirtung,CA,66.1451,-65.7125,33.22,90,100,4.07,overcast clouds
136,Broome,US,42.2506,-75.833,53.83,72,90,4.0,overcast clouds
137,Thompson,CA,55.7435,-97.8558,44.42,71,100,7.4,overcast clouds
138,Fort Nelson,CA,58.8053,-122.7002,61.05,42,89,0.98,overcast clouds
139,Tura,IN,25.5198,90.2201,74.25,90,8,4.45,clear sky
140,Lompoc,US,34.6391,-120.4579,68.09,82,90,8.05,overcast clouds
141,Asau,RO,46.4333,26.4,61.95,69,57,3.58,broken clouds
142,Norman Wells,CA,65.282,-126.8329,37.44,93,90,9.22,overcast clouds
143,Sawakin,SD,19.1059,37.3321,90.41,45,12,6.49,few clouds
144,Yumen,CN,40.2833,97.2,69.8,19,100,10.18,light rain
145,Algiers,DZ,36.7525,3.042,73.22,60,75,12.57,broken clouds
146,Arlit,NE,18.7369,7.3853,109.72,4,97,19.1,overcast clouds
147,Codrington,AU,-38.2667,141.9667,41.09,74,2,7.87,clear sky
148,Gardez,AF,33.5974,69.2259,69.33,19,7,6.02,clear sky
149,Poum,NC,-20.2333,164.0167,72.34,56,61,13.71,broken clouds
150,Hami,CN,42.8,93.45,79.09,8,1,8.21,clear sky
151,Babol,IR,36.5513,52.679,80.67,52,0,6.35,clear sky
152,Ivanava,BY,52.1451,25.5365,56.34,77,99,13.31,overcast clouds
153,Shitanjing,CN,39.2342,106.3439,71.17,27,86,24.43,overcast clouds
154,Belyy Yar,RU,53.6039,91.3903,51.69,58,0,2.19,clear sky
155,Rocha,UY,-34.4833,-54.3333,54.39,50,5,15.28,clear sky
156,Belomorsk,RU,64.5232,34.7668,55.96,41,68,3.06,broken clouds
157,Saint George,US,37.1041,-113.5841,86.47,15,1,1.01,clear sky
158,Manitouwadge,CA,49.1215,-85.8403,62.28,37,55,10.96,broken clouds
159,Kununurra,AU,-15.7667,128.7333,62.58,72,70,4.61,broken clouds
160,Victoria,HK,22.2855,114.1577,87.33,87,98,1.01,overcast clouds
161,Jiuquan,CN,39.7432,98.5174,68.68,28,70,9.4,broken clouds
162,Umm Lajj,SA,25.0213,37.2685,86.07,58,11,12.3,few clouds
163,Alta Floresta,BR,-9.8756,-56.0861,86.27,46,54,5.26,broken clouds
164,Bethel,US,41.3712,-73.414,50.31,90,90,1.99,overcast clouds
165,Carnarvon,AU,-24.8667,113.6333,60.87,88,0,9.22,clear sky
166,Manoel Urbano,BR,-8.8389,-69.2597,80.38,90,91,1.01,overcast clouds
167,Bitkine,TD,11.9801,18.2138,106.11,7,9,10.8,clear sky
168,Isangel,VU,-19.55,169.2667,70.3,76,100,5.01,overcast clouds
169,Le Port,RE,-20.9373,55.2919,71.62,80,3,5.01,clear sky
170,Carutapera,BR,-1.195,-46.02,86.95,63,19,9.86,few clouds
171,Ukiah,US,39.1502,-123.2078,84.02,48,1,0.0,clear sky
172,Mariakani,KE,-3.8633,39.4736,72.54,85,38,8.43,scattered clouds
173,Marzuq,YE,14.4,46.4667,86.76,25,0,8.41,clear sky
174,Akyab,MM,20.15,92.9,83.19,82,89,4.56,overcast clouds
175,Huntingdon,GB,52.3305,-0.1865,69.64,54,2,5.99,clear sky
176,Mar Del Plata,AR,-38.0023,-57.5575,57.09,44,0,1.01,clear sky
177,Bengkulu,ID,-3.8004,102.2655,76.6,90,100,4.97,moderate rain
178,Chokurdakh,RU,70.6333,147.9167,50.81,48,22,9.46,few clouds
179,Nikolskoye,RU,59.7035,30.7861,56.39,40,8,6.8,clear sky
180,Hamilton,US,39.1834,-84.5333,60.58,70,90,1.01,overcast clouds
181,Nanortalik,GL,60.1432,-45.2371,36.97,88,97,15.86,overcast clouds
182,Husavik,IS,66.0449,-17.3389,56.91,48,90,18.59,overcast clouds
183,Mataura,NZ,-46.1927,168.8643,49.48,98,100,3.67,light rain
184,Pozo Colorado,PY,-23.4923,-58.7972,69.98,36,86,8.03,overcast clouds
185,Hilo,US,19.7297,-155.09,72.1,85,75,0.0,broken clouds
186,Madras,IN,13.0878,80.2785,88.97,72,40,7.0,scattered clouds
187,Tucurui,BR,-3.7661,-49.6725,89.4,52,3,4.68,clear sky
188,Kaabong,UG,3.4836,34.1492,70.34,58,15,10.16,few clouds
189,Makushino,RU,55.2103,67.2442,72.32,42,24,10.02,few clouds
190,Barstow,US,34.8986,-117.0228,82.49,31,0,6.4,clear sky
191,Grand Gaube,MU,-20.0064,57.6608,74.37,80,1,3.0,clear sky
192,Jumla,NP,29.2747,82.1838,56.26,95,22,1.25,few clouds
193,Magadan,RU,59.5667,150.8,35.46,99,100,4.32,light rain
194,Okhotsk,RU,59.3833,143.3,37.02,93,98,6.82,overcast clouds
195,Ajdabiya,LY,30.7554,20.2263,85.01,35,0,16.89,clear sky
196,Ust-Kuyga,RU,70.0167,135.6,50.14,72,86,12.66,overcast clouds
197,Tuatapere,NZ,-46.1333,167.6833,49.82,96,100,8.12,overcast clouds
198,Romny,UA,50.751,33.4747,50.65,87,100,10.58,overcast clouds
199,Havre-Saint-Pierre,CA,50.2334,-63.5986,50.25,58,0,8.79,clear sky
200,Saa,CM,4.3667,11.45,83.37,66,82,0.6,broken clouds
201,Chumikan,RU,54.7183,135.315,34.34,98,100,3.29,overcast clouds
202,Auki,SB,-8.7676,160.7034,75.78,89,41,3.04,scattered clouds
203,Faya,SA,18.3851,42.4509,75.72,25,67,2.73,broken clouds
204,Cidreira,BR,-30.1811,-50.2056,56.98,46,0,11.43,clear sky
205,Provideniya,RU,64.3833,-173.3,40.37,58,2,10.92,clear sky
206,Zhangye,CN,38.9342,100.4517,65.84,42,83,3.18,broken clouds
207,Udachnyy,RU,66.4167,112.4,52.84,42,18,5.55,few clouds
208,Khatanga,RU,71.9667,102.5,35.35,99,100,4.12,overcast clouds
209,Buckeye,US,33.3703,-112.5838,91.22,13,0,2.48,clear sky
210,Byron Bay,AU,-28.65,153.6167,60.87,88,82,12.95,broken clouds
211,Ndele,CF,8.4109,20.6473,85.3,47,83,5.03,broken clouds
212,Agua Dulce,MX,18.1333,-94.1333,89.38,57,41,3.67,scattered clouds
213,Segou,ML,13.4317,-6.2157,105.01,17,36,4.47,scattered clouds
214,San Policarpo,PH,12.1791,125.5072,79.03,87,91,4.16,overcast clouds
215,Gravdal,NO,68.1214,13.5031,46.29,87,75,5.75,broken clouds
216,Beringovskiy,RU,63.05,179.3167,30.15,78,11,8.86,few clouds
217,Bredasdorp,ZA,-34.5322,20.0403,54.28,72,100,2.66,overcast clouds
218,Avarua,CK,-21.2078,-159.775,69.85,78,75,3.44,broken clouds
219,Ust-Nera,RU,64.5667,143.2,46.09,85,100,2.89,overcast clouds
220,Pafos,CY,34.7667,32.4167,77.23,69,20,9.22,few clouds
221,Baykit,RU,61.67,96.37,39.97,84,100,1.36,overcast clouds
222,Ferrol,ES,43.4832,-8.2369,79.05,83,92,19.62,overcast clouds
223,Sinnamary,GF,5.3833,-52.95,80.56,84,91,9.26,overcast clouds
224,Giddalur,IN,15.35,78.9167,93.99,36,94,3.18,overcast clouds
225,Sangar,RU,63.9242,127.4739,40.03,93,16,3.71,few clouds
226,Kumano,JP,34.3442,132.5894,62.94,71,0,4.65,clear sky
227,Salta,AR,-24.7859,-65.4117,61.09,58,28,5.99,scattered clouds
228,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,65,42,8.16,scattered clouds
229,Changji,CN,44.0167,87.3167,77.79,23,0,6.76,clear sky
230,Cap Malheureux,MU,-19.9842,57.6142,74.46,80,1,3.0,clear sky
231,Mayna,RU,54.1135,47.6231,52.38,88,94,14.32,overcast clouds
232,Iqaluit,CA,63.7506,-68.5145,34.7,69,100,13.0,overcast clouds
233,Geraldton,AU,-28.7667,114.6,57.61,88,40,16.53,scattered clouds
234,Wenling,CN,28.3669,121.36,69.91,91,91,1.54,overcast clouds
235,Ekibastuz,KZ,51.6667,75.3667,74.77,20,94,19.8,overcast clouds
236,Ponta Do Sol,PT,32.6667,-17.1,71.71,76,32,5.01,scattered clouds
237,Constitucion,CL,-35.3333,-72.4167,58.41,51,72,6.13,broken clouds
238,Saint-Louis,SN,16.3333,-15.0,107.69,11,74,5.23,broken clouds
239,Luanda,AO,-8.8368,13.2343,78.8,78,0,10.36,clear sky
240,Araguaina,BR,-7.1911,-48.2072,90.54,30,37,7.29,scattered clouds
241,Shingu,JP,33.7333,135.9833,62.91,77,77,4.83,broken clouds
242,Port Blair,IN,11.6667,92.75,82.33,78,100,2.04,overcast clouds
243,Teahupoo,PF,-17.8333,-149.2667,71.56,77,88,16.02,light rain
244,Bitung,ID,1.4451,125.1824,77.85,84,99,4.99,overcast clouds
245,Mahajanga,MG,-15.7167,46.3167,78.82,78,20,8.05,few clouds
246,Excelsior Springs,US,39.3392,-94.2261,65.01,55,1,8.05,clear sky
247,Yabassi,CM,4.457,9.9682,85.6,74,77,6.4,light rain
248,Zary,PL,51.6421,15.1373,65.12,56,49,1.01,scattered clouds
249,Kukuna,SL,9.4,-12.6667,87.75,61,99,8.81,light rain
250,Bobrovka,RU,54.047,61.7455,63.77,87,76,8.63,heavy intensity rain
251,Hakui,JP,36.8833,136.7833,59.22,94,4,4.61,clear sky
252,South River,US,40.4465,-74.386,52.18,93,100,3.0,overcast clouds
253,Walvis Bay,NA,-22.9575,14.5053,57.09,68,23,11.39,few clouds
254,Viet Tri,VN,21.3019,105.4308,85.95,75,94,4.85,overcast clouds
255,Namibe,AO,-15.1961,12.1522,75.22,66,15,15.37,few clouds
256,Bogorodskoye,RU,56.55,37.8833,51.58,56,97,8.93,overcast clouds
257,Brae,GB,60.3964,-1.353,49.91,77,7,12.24,clear sky
258,Deniliquin,AU,-35.5333,144.9667,36.0,65,0,4.79,clear sky
259,Aswan,EG,24.0934,32.907,100.76,10,100,5.39,overcast clouds
260,Cayenne,GF,4.9333,-52.3333,84.24,84,75,5.99,broken clouds
261,Pervomayskiy,RU,53.2485,40.2871,47.05,93,100,16.49,overcast clouds
262,Saldanha,ZA,-33.0117,17.9442,58.17,81,5,7.76,clear sky
263,Saint-Georges,GD,12.0564,-61.7485,85.68,66,75,28.77,broken clouds
264,Bowen,AU,-20.0167,148.2333,64.69,88,71,11.32,broken clouds
265,Urusha,RU,54.05,122.9,42.98,95,97,4.68,overcast clouds
266,Diamantino,BR,-14.4086,-56.4461,89.58,33,81,3.11,broken clouds
267,Kielce,PL,50.8703,20.6275,57.18,1,69,10.58,broken clouds
268,Oyon,PE,-10.6681,-76.7731,55.49,54,50,4.43,scattered clouds
269,Laguna,US,38.421,-121.4238,76.82,68,1,1.99,clear sky
270,Batemans Bay,AU,-35.7167,150.1833,42.91,86,0,4.32,clear sky
271,Hermagor,AT,46.6272,13.3672,64.99,61,95,2.21,overcast clouds
272,Peruibe,BR,-24.32,-46.9983,67.57,96,100,3.18,overcast clouds
273,Baiyin,CN,36.5583,104.2081,68.88,40,63,22.06,broken clouds
274,Kropotkin,RU,45.4375,40.5756,65.01,85,71,17.29,broken clouds
275,Sept-Iles,CA,50.2001,-66.3821,57.25,64,0,5.01,clear sky
276,Vung Tau,VN,10.346,107.0843,84.27,81,42,13.4,scattered clouds
277,Uarini,BR,-2.99,-65.1083,85.95,58,81,3.38,broken clouds
278,Baracoa,CU,20.3467,-74.4958,83.86,70,30,4.45,scattered clouds
279,Adrar,MR,20.5022,-10.0711,107.46,11,67,8.68,broken clouds
280,Tripoli,LY,32.8752,13.1875,74.41,59,9,14.12,clear sky
281,Saint-Pierre,RE,-21.3393,55.4781,71.29,70,0,4.61,clear sky
282,Kushmurun,KZ,52.4503,64.6311,66.99,77,66,1.74,moderate rain
283,Hermanus,ZA,-34.4187,19.2345,60.91,78,75,2.46,broken clouds
284,Salem,IN,11.65,78.1667,78.35,81,89,7.25,overcast clouds
285,Rudbar,AF,30.15,62.6,97.07,7,0,9.98,clear sky
286,Nemuro,JP,43.3236,145.575,41.49,92,99,15.82,overcast clouds
287,Namatanai,PG,-3.6667,152.4333,79.11,82,92,6.24,light rain
288,Sao Filipe,CV,14.8961,-24.4956,73.26,79,94,9.8,overcast clouds
289,Bambous Virieux,MU,-20.3428,57.7575,74.21,74,1,6.2,clear sky
290,Manta,EC,-0.95,-80.7333,78.58,78,75,6.91,broken clouds
291,Aasiaat,GL,68.7098,-52.8699,36.48,71,34,4.7,scattered clouds
292,College,US,64.8569,-147.8028,53.55,63,75,4.61,broken clouds
293,Minab,IR,27.1467,57.0801,92.7,33,0,6.44,clear sky
294,Kang,BW,-23.6752,22.7876,63.63,29,1,6.29,clear sky
295,Hasaki,JP,35.7333,140.8333,63.0,79,25,11.59,scattered clouds
296,Romitan,UZ,39.9343,64.3814,91.35,25,0,6.29,clear sky
297,Pisco,PE,-13.7,-76.2167,65.01,94,90,6.91,overcast clouds
298,Berlevag,NO,70.8578,29.0864,42.8,84,98,26.53,overcast clouds
299,Portland,US,45.5234,-122.6762,67.01,62,40,3.0,scattered clouds
300,Colomi,BO,-17.35,-65.8667,62.62,75,96,4.16,overcast clouds
301,Linfen,CN,36.0889,111.5189,78.21,38,86,3.49,overcast clouds
302,Vao,NC,-22.6667,167.4833,70.23,54,95,18.66,overcast clouds
303,Bharatpur,IN,27.2167,77.4833,96.46,23,92,6.22,overcast clouds
304,Bahia Blanca,AR,-38.7196,-62.2724,54.36,43,21,14.09,few clouds
305,Yerbogachen,RU,61.2767,108.0108,46.83,60,94,12.59,overcast clouds
