City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
643,Pentecoste,BR,82.67,few clouds,-3.7928,-39.2703,Motel Big love
644,Pemba,MZ,79.25,broken clouds,-12.974,40.5178,Guesthouse Samotina
651,Maceio,BR,81.84,broken clouds,-9.6658,-35.7353,Poutur Pousada
657,Buzuluk,RU,73.33,clear sky,52.7807,52.2635,Sri Lanka Hotel
662,Eyl,SO,80.6,overcast clouds,7.9803,49.8164,Amiin Hotel
665,Hilton Head Island,US,80.01,broken clouds,32.2163,-80.7526,Disney’s Hilton Head Island Resort
667,Kinablangan,PH,75.87,heavy intensity rain,7.6947,126.5503,Danny Moreno Property
668,Kiunga,PG,74.53,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
669,Kuliyapitiya,LK,78.24,broken clouds,7.4688,80.0401,Rest House
673,Kendari,ID,75.61,overcast clouds,-3.945,122.4989,Hotel Wixel
679,Atbasar,KZ,75.22,scattered clouds,51.8,68.3333,"The Ritz-Carlton, Astana"
683,Totskoye,RU,73.78,scattered clouds,52.5248,52.7623,Gostinitsa
698,Wewak,PG,80.8,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
704,Crowley,US,73.98,scattered clouds,30.2141,-92.3746,"Motel 6 Crowley, LA"
